source_id,source_name,iso3_country,lat,lon,capacity,capacity_units,capacity_factor
1054027,Abbeville County,USA,34.22316534205619,-82.45830243623014,201605.089,m^2,54.991962375513246
34157084,Abilene Urban Area,USA,,,2922695.433,m^2,57.51433325143187
1052820,Acadia Parish,USA,30.291811406961557,-92.41182816760912,512078.827,m^2,53.18190555455244
1054530,Accomack County,USA,37.75224956995661,-75.62807259875582,211725.066,m^2,53.388962386720905
1052256,Ada County,USA,43.45043165030778,-116.2403129337941,8879498.01,m^2,45.84809723415885
1052496,Adair County,USA,41.32990403033827,-94.4721487508976,105062.78,m^2,49.382422167012905
1052700,Adair County,USA,37.10447655950445,-85.28031371201332,32627.726,m^2,52.80263138779577
1053194,Adair County,USA,40.19204457685902,-92.6019183568453,361382.054,m^2,49.43855039630717
1053842,Adair County,USA,35.88471539769144,-94.65830096762376,102415.023,m^2,53.38264152906552
1051949,Adams County,USA,39.87337011026823,-104.3381536098023,13810476.195,m^2,44.6803246503116
1052257,Adams County,USA,44.890286377215205,-116.45263025723855,2871.98,m^2,41.480523193058445
1052300,Adams County,USA,39.98822991150662,-91.18807548949428,2105497.37,m^2,49.85168006930353
1052403,Adams County,USA,40.74562106269099,-84.93705398195544,687896.512,m^2,49.15110229836433
1052497,Adams County,USA,41.0284468868242,-94.7008922829577,24416.705,m^2,49.41732809566237
1053112,Adams County,USA,31.482175713001897,-91.35632728040568,274847.704,m^2,56.09846416981529
1053364,Adams County,USA,40.52576316187734,-98.50214356214234,738354.085,m^2,47.76122558731425
1053700,Adams County,USA,46.09646998923906,-102.52916066168432,50070.006,m^2,43.05747143309709
1053753,Adams County,USA,38.84502609481219,-83.47206332886188,64459.705,m^2,51.5176406407693
1053955,Adams County,USA,39.87174284353251,-77.21807341944566,731500.483,m^2,50.57395098124631
1054663,Adams County,USA,46.98306181523307,-118.5612711909618,393965.098,m^2,46.101575871068654
1054757,Adams County,USA,43.969050928320705,-89.76982962714159,114692.987,m^2,48.012338444023605
1054516,Addison County,USA,44.030201860926304,-73.14171838907193,187239.982,m^2,48.04348744810283
1054028,Aiken County,USA,33.54514026670487,-81.63440440633713,2367111.216,m^2,54.27849675483942
1053024,Aitkin County,USA,46.60791121093765,-93.41507956500854,173845.77,m^2,46.180747895102655
34157219,Akron Urban Area,USA,,,7285181.47,m^2,49.12644031679832
1052025,Alachua County,USA,29.67504110294082,-82.35765392931798,5086427.653,m^2,51.02929039773369
1053600,Alamance County,USA,36.04410847531669,-79.40005518733001,2173614.809,m^2,54.56333215937342
1051891,Alameda County,USA,37.65037008061687,-121.92772768201556,31225292.819,m^2,41.483798148877824
1051950,Alamosa County,USA,37.571617304313484,-105.78769139480823,168026.709,m^2,48.018355605596014
1053537,Albany County,USA,42.60024941985184,-73.97295693010787,4395178.69,m^2,48.853189177389275
1054831,Albany County,USA,41.65530928550006,-105.72340998407358,426218.338,m^2,42.79108069489024
34157249,Albany Urban Area,USA,,,7556474.162,m^2,48.78046377047878
1054531,Albemarle County,USA,38.024053875860545,-78.556223301284,649877.379,m^2,52.46625812928934
34157068,Albuquerque Urban Area,USA,,,12656598.046,m^2,50.77924435912041
1052937,Alcona County,USA,44.68504473926633,-83.59420216884814,12780.544,m^2,45.04195259607103
1053113,Alcorn County,USA,34.88309978601723,-88.58127718581336,431644.412,m^2,53.90170253379765
1051775,Aleutians East Borough,USA,55.125035176690695,-162.10140193847752,7503.501,m^2,36.54336555695801
1051776,Aleutians West Census Area,USA,52.65132302582897,-83.85066504300174,52834.237,m^2,36.69113961085498
1052301,Alexander County,USA,37.191020730790385,-89.3380839916596,41753.988,m^2,53.06982961723322
1053601,Alexander County,USA,35.92272671666916,-81.17745814237216,125687.848,m^2,53.03829272341428
1054532,Alexandria Independent City,USA,38.81741542723768,-77.08228698257193,1914911.786,m^2,53.02258074252617
1053843,Alfalfa County,USA,36.7317754273914,-98.32523950392246,43277.051,m^2,52.1705482658696
1052938,Alger County,USA,46.409142674259165,-86.6047677919953,36356.841,m^2,42.67584708473434
1052498,Allamakee County,USA,43.285203786071385,-91.37812788006762,210257.044,m^2,48.2774839733788
1052939,Allegan County,USA,42.59043834839652,-85.88898645225078,1350555.139,m^2,47.46142697473383
1052900,Allegany County,USA,39.62179938731816,-78.69326240378338,703746.422,m^2,49.14698368725774
1053538,Allegany County,USA,42.25728633396892,-78.02747234515732,150450.023,m^2,47.39636464528822
1053602,Alleghany County,USA,36.491374061626175,-81.12880377866563,93805.134,m^2,50.64478980436188
1054533,Alleghany County,USA,37.788926873534336,-80.00908135901624,150343.017,m^2,49.61341768869784
1053956,Allegheny County,USA,40.4698807366839,-79.98107939772778,20365325.766,m^2,49.49391864095753
1052404,Allen County,USA,41.09099017982626,-85.066811315943,10194841.213,m^2,48.82940770369407
1052595,Allen County,USA,37.885646450401765,-95.3009823362884,272029.234,m^2,51.519562595981874
1052701,Allen County,USA,36.751679873290584,-86.19058848689363,84564.844,m^2,52.51477900201648
1053754,Allen County,USA,40.771606165961416,-84.10583482261444,3839515.163,m^2,49.18971558467055
1054029,Allendale County,USA,32.98858464199016,-81.35661895963706,55854.333,m^2,53.79226437096653
1052821,Allen Parish,USA,30.653580975496457,-92.82801744516638,92836.068,m^2,54.1490943584556
34157239,Allentown Urban Area,USA,,,14466353.344,m^2,49.23824911413694
1052940,Alpena County,USA,45.03489458889091,-83.62757185336211,259784.651,m^2,44.92958110908562
1051892,Alpine County,USA,38.59877297399535,-119.82047830759308,5504.544,m^2,41.37543636675445
