source_name,start_time,avg(e.emissions_quantity),any_value(lat),any_value(lon),capacity,co2_per_m2
Presidio County,2021-01-01,212.394,29.99885114360978,-104.24072827456872,210998.032,0.001
Independence County,2021-01-01,1691.394,35.74193464249603,-91.56954717217374,662712.271,0.0026
Jefferson County,2021-01-01,1487.571,38.30070616974437,-88.92571259918402,573353.331,0.0026
Morris County,2021-01-01,709.778,33.11748033398757,-94.73726960309791,430301.77,0.0016
Schuyler County,2021-01-01,24.169,40.47056790815192,-92.52340108918588,5813.167,0.0042
Lake Michigan,2021-01-01,2415.845,43.97979290330274,-87.29797135931562,932173.767,0.0026
Erath County,2021-01-01,1429.099,32.23666624826894,-98.2194630794365,552066.987,0.0026
Glascock County,2021-01-01,19.918,33.22932955830494,-82.6107229223224,7665.638,0.0026
King County,2021-01-01,8.395,33.61609715072724,-100.25919704141228,3174.276,0.0026
Reeves County,2021-01-01,161.104,31.32522376473738,-103.69583051923534,178114.228,0.0009
Randolph County,2021-01-01,376.801,36.3413478263623,-91.02733370602056,142344.234,0.0026
Taylor County,2021-01-01,783.662,37.36665726266849,-85.32819486576626,301511.048,0.0026
Traill County,2021-01-01,352.367,47.45421272462323,-97.16237535968716,138128.356,0.0026
Henry County,2021-01-01,2151.994,41.35386216915686,-90.13131143846265,839370.286,0.0026
Marshall County,2021-01-01,2513.892,41.32499811153199,-86.26183156028112,949880.584,0.0026
Merrick County,2021-01-01,282.958,41.1690215483798,-98.0376213860246,107329.663,0.0026
Bennington County,2021-01-01,792.779,43.0351654943757,-73.09382147308987,123711.517,0.0064
Spencer County,2021-01-01,630.547,38.01454785377201,-87.0077355757794,638051.264,0.001
Pitkin County,2021-01-01,108.142,39.21710703170272,-106.91522668896744,25671.278,0.0042
Stone County,2021-01-01,164.551,35.85914055092289,-92.15718844566818,39359.849,0.0042
Dona Ana County,2021-01-01,7716.936,32.353487382249234,-106.82980473306796,2960155.714,0.0026
White Pine County,2021-01-01,63.6,39.443030622405246,-114.9016205356597,62052.747,0.001
Fayette County,2021-01-01,3081.087,39.92059291049946,-79.64728124585108,715286.036,0.0043
Comal County,2021-01-01,5140.778,29.809529308003697,-98.2825248659983,1989180.622,0.0026
Adams County,2021-01-01,276.947,38.84502609481219,-83.47206332886188,64459.705,0.0043
Lee County,2021-01-01,62.932,37.59512460492011,-83.71614934363646,9858.844,0.0064
Stephens County,2021-01-01,948.435,34.55457401703428,-83.29281895389526,219001.145,0.0043
Sevier County,2021-01-01,303.017,33.9969309467322,-94.24150092343666,70513.581,0.0043
Pottawattamie County,2021-01-01,7700.833,41.33560223516063,-95.54224179775866,2930469.369,0.0026
Refugio County,2021-01-01,89.003,28.31992178968959,-97.15248904786348,34411.355,0.0026
West Baton Rouge Parish,2021-01-01,2183.889,30.462866733710648,-91.31333773910669,1643309.155,0.0013
Tipton County,2021-01-01,712.294,40.31142164666137,-86.05225428616752,274350.496,0.0026
Bourbon County,2021-01-01,353.582,37.854782672556794,-94.84872145279417,138440.824,0.0026
Waynesboro Independent City,2021-01-01,1285.373,38.06950226784796,-78.90291961322991,496837.842,0.0026
Hidalgo County,2021-01-01,85.395,31.916619840473896,-108.71471253610704,32655.14,0.0026
Torrance County,2021-01-01,172.141,34.6412798781492,-105.84710495205458,40727.862,0.0042
Crow Wing County,2021-01-01,2286.076,46.48265868095865,-94.07056930085628,546359.671,0.0042
Ross County,2021-01-01,2407.604,39.33759367744681,-83.05666267618656,939008.052,0.0026
Linn County,2021-01-01,15003.892,42.079173867650745,-91.59959235576584,5737771.28,0.0026
Fluvanna County,2021-01-01,503.732,37.84291342672559,-78.27815926375109,79019.373,0.0064
Lincoln County,2021-01-01,3111.817,43.27921367071693,-96.71977919980937,739880.85,0.0042
Rosebud County,2021-01-01,224.48,46.23173031688261,-106.73124036645808,52879.449,0.0042
Weston County,2021-01-01,280.139,43.841206805248994,-104.56871167692938,109036.727,0.0026
Mahoning County,2021-01-01,11062.019,41.01456609481322,-80.77566239949832,4208553.092,0.0026
Edgefield County,2021-01-01,396.596,33.77256944552971,-81.96659640940987,61867.809,0.0064
Dubuque County,2021-01-01,6178.777,42.468593160412745,-90.8816742742136,2336316.66,0.0026
Lyman County,2021-01-01,28.434,43.895208080748304,-99.8468341870432,10970.842,0.0026
Fayette County,2021-01-01,516.661,38.99979386377415,-89.02526486274829,196901.642,0.0026
Madison County,2021-01-01,232.974,35.85792483852533,-82.70532419310399,36484.164,0.0064
Clinton County,2021-01-01,3262.952,41.89846029899538,-90.53354971601648,1250455.39,0.0026
Ottawa County,2021-01-01,75.622,39.1333308142834,-97.65042664201948,29066.609,0.0026
Jackson County,2021-01-01,41320.003,39.00816669481391,-94.34857397204831,15741654.305,0.0026
Rock Island County,2021-01-01,9823.205,41.4678440992559,-90.56763120017482,3726562.136,0.0026
Fauquier County,2021-01-01,1754.339,38.738507319396554,-77.80882111742473,273313.609,0.0064
Fremont County,2021-01-01,1039.865,43.04061726408866,-108.62981943751907,397300.832,0.0026
Gove County,2021-01-01,65.838,38.9163422720778,-100.48221461054962,42394.342,0.0016
Hughes County,2021-01-01,1029.431,44.38908506952171,-99.9946620198764,392408.477,0.0026
Columbia County,2021-01-01,1886.946,30.223615867964252,-82.62171416830694,730103.946,0.0026
Otsego County,2021-01-01,1177.755,42.6326852308779,-75.03147081632542,184317.847,0.0064
Lee County,2021-01-01,386.264,30.311506637513673,-96.96861012110762,146501.295,0.0026
Wichita County,2021-01-01,5476.93,33.988181536036244,-98.70330758098784,2126892.599,0.0026
Murray County,2021-01-01,123.871,44.02433628665138,-95.76353422886984,48121.305,0.0026
Lafourche Parish,2021-01-01,2588.768,29.445333179288365,-90.38339552731507,1448046.001,0.0018
Champaign County,2021-01-01,1186.755,40.13751536262247,-83.76960788009166,284691.372,0.0042
Somervell County,2021-01-01,453.609,32.223407274575095,-97.77328446562592,174607.367,0.0026
Dillon County,2021-01-01,906.18,34.39214402494632,-79.3762823813312,342874.825,0.0026
Jasper County,2021-01-01,6545.055,37.20398595858768,-94.3415706888762,2477742.287,0.0026
Canyon County,2021-01-01,10335.65,43.626086814365706,-116.70653973802968,3993371.625,0.0026
Jack County,2021-01-01,323.301,33.232238565125215,-98.1740070731634,125354.338,0.0026
Clark County,2021-01-01,7708.696,38.477122201739576,-85.70768035863419,2910969.81,0.0026
Cobb County,2021-01-01,49549.28,33.94146328924954,-84.57637224081135,18191507.599,0.0027
Washington County,2021-01-01,1091.452,32.969556709732224,-82.7958399221229,410738.188,0.0027
Fresno County,2021-01-01,52158.673,36.75825755996808,-119.6514620697384,19212792.76,0.0027
Rock County,2021-01-01,10746.64,42.67352136961385,-89.07000492575804,3932340.826,0.0027
Cuyahoga County,2021-01-01,62477.502,41.42450616722871,-81.65884796813312,22951799.566,0.0027
Menominee County,2021-01-01,109.61,45.00436566127155,-88.70964223798941,16525.928,0.0066
Itawamba County,2021-01-01,766.502,34.28250539276902,-88.36083868942981,416469.172,0.0018
Worcester County,2021-01-01,32832.74,42.3520886927098,-71.9079877373684,4938104.628,0.0066
Oldham County,2021-01-01,49.959,35.40501019247709,-102.60188187382634,18245.753,0.0027
Union County,2021-01-01,3171.283,40.29951242971871,-83.37139821786003,1183662.989,0.0027
Georgetown County,2021-01-01,1515.813,33.39130121479508,-79.20215698696232,829764.058,0.0018
White County,2021-01-01,828.865,40.75086184071025,-86.86537803701171,308325.584,0.0027
Burnet County,2021-01-01,1096.932,30.788106094918714,-98.18328414026976,413464.61,0.0027
Twin Falls County,2021-01-01,3113.969,42.3562991344936,-114.66685305386676,1161365.987,0.0027
Fayette County,2021-01-01,1357.469,39.55966539202985,-83.45620386077387,505778.873,0.0027
Garden County,2021-01-01,64.424,41.6185706967766,-102.3355102681932,23804.293,0.0027
Charlotte County,2021-01-01,2481.471,26.889226401307305,-82.0027836190987,1590951.317,0.0016
Lancaster County,2021-01-01,23858.551,40.78439815133942,-96.68790301968706,8828720.189,0.0027
Sandusky County,2021-01-01,3235.222,41.35616310428079,-83.14617751655385,1198554.527,0.0027
San Miguel County,2021-01-01,409.989,35.48026395681898,-104.8143239728946,149137.057,0.0027
Clark County,2021-01-01,1547.333,37.97125089981655,-84.14857584594081,568036.871,0.0027
Lancaster County,2021-01-01,2038.739,34.68694848652033,-80.70646940113309,490411.905,0.0042
White County,2021-01-01,302.477,38.08890622794231,-88.17930167583988,110610.462,0.0027
George County,2021-01-01,359.278,30.86269002999144,-88.64485155544548,85934.587,0.0042
Camas County,2021-01-01,0.591,43.464215967635454,-114.80659259058176,375.084,0.0016
Coffee County,2021-01-01,1939.081,31.54933572902618,-82.84913457757807,728749.996,0.0027
Jones County,2021-01-01,2622.573,31.621763510444616,-89.16945989203819,988861.207,0.0027
Clark County,2021-01-01,5291.33,39.91668707626194,-83.78316158933193,1247440.927,0.0042
Oneida County,2021-01-01,8835.673,43.24169425200097,-75.43624382237978,2099167.393,0.0042
Monroe County,2021-01-01,2465.481,43.94568913417034,-90.617933104723,898063.324,0.0027
Mercer County,2021-01-01,22083.685,40.28380207892637,-74.70143775078203,5406222.957,0.0041
Alachua County,2021-01-01,13732.564,29.67504110294082,-82.35765392931798,5086427.653,0.0027
Adams County,2021-01-01,37485.268,39.87337011026823,-104.3381536098023,13810476.195,0.0027
Meigs County,2021-01-01,126.107,39.08178851338599,-82.02084208739154,30815.078,0.0041
San Juan County,2021-01-01,6346.367,36.509147987006685,-108.31766089197042,2334946.625,0.0027
Barry County,2021-01-01,1079.468,36.710164815041914,-93.82844348878253,396460.34,0.0027
Kent County,2021-01-01,33574.555,43.03106584862527,-85.55047132044132,12368107.027,0.0027
Cascade County,2021-01-01,2672.412,47.30784150797013,-111.34567433954469,974169.779,0.0027
Gunnison County,2021-01-01,307.451,38.66481375973813,-107.02960332996092,75834.958,0.0041
Wasco County,2021-01-01,1065.683,45.16105420234382,-121.16593424584508,394234.91,0.0027
Dawson County,2021-01-01,1501.828,34.4442270845913,-84.17076021992528,227313.455,0.0066
Hardin County,2021-01-01,923.182,35.19979009082183,-88.18522495851444,336648.913,0.0027
Leon County,2021-01-01,13923.391,30.458461256709526,-84.27766834662326,5160933.849,0.0027
Rush County,2021-01-01,339.087,39.62057277479453,-85.46579089262666,127445.919,0.0027
Union County,2021-01-01,51.828,36.48129886798747,-103.47004449267352,18986.922,0.0027
