source_name,any_value(e.start_time),iso3_country,sum(e.emissions_quantity),capacity,co2_per_m2
Clay County,2021-01-01,USA,1959.6559600000007,6828.199,0.287
Jefferson County,2021-01-01,USA,10337.845280000001,36031.73,0.2869
Boise County,2021-01-01,USA,2667.474909999999,9310.786,0.2865
Keweenaw County,2021-01-01,USA,644.0049600000001,2264.505,0.2844
Madison County,2021-01-01,USA,87632.56590999999,308289.256,0.2843
McCormick County,2021-01-01,USA,1584.0761800000002,5583.734,0.2837
Van Buren County,2021-01-01,USA,485.6475000000001,1712.414,0.2836
Lee County,2021-01-01,USA,4879.0107800000005,17203.004,0.2836
Deer Lodge County,2021-01-01,USA,11174.179239999998,39440.896,0.2833
Caledonia County,2021-01-01,USA,42497.55808999999,150006.033,0.2833
Bennington County,2021-01-01,USA,35031.87094,123711.517,0.2832
Leominster Urban Area,2021-01-01,USA,401247.66946000006,1424035.369,0.2818
Teton County,2021-01-01,USA,3490.2696100000003,12426.79,0.2809
Perry County,2021-01-01,USA,15659.046200000003,55773.555,0.2808
Worcester County,2021-01-01,USA,1380573.6164399995,4938104.628,0.2796
Sierra County,2021-01-01,USA,2396.6597699999998,8575.406,0.2795
Johnson County,2021-01-01,USA,13203.333129999997,47270.189,0.2793
Sussex County,2021-01-01,USA,89636.89495000002,322090.672,0.2783
Greene County,2021-01-01,USA,41372.93216999999,148699.401,0.2782
Wayne County,2021-01-01,USA,22936.634970000006,82682.394,0.2774
Windsor County,2021-01-01,USA,70127.47421000001,253167.349,0.277
Pine County,2021-01-01,USA,27826.27247,100482.637,0.2769
Summit County,2021-01-01,USA,63606.88365000001,230015.221,0.2765
Lamar County,2021-01-01,USA,23616.062220000003,85673.146,0.2757
Jefferson County,2021-01-01,USA,51963.23573000002,188907.596,0.2751
Jackson County,2021-01-01,USA,6449.867159999999,23503.087,0.2744
Eagle County,2021-01-01,USA,60807.30783000002,221681.629,0.2743
Taylor County,2021-01-01,USA,4490.86953,16390.942,0.274
Butts County,2021-01-01,USA,35685.36966,130713.374,0.273
Wirt County,2021-01-01,USA,561.1583799999999,2056.862,0.2728
Powhatan County,2021-01-01,USA,34262.272560000005,125719.616,0.2725
Otsego County,2021-01-01,USA,50074.83207,184317.847,0.2717
Dewey County,2021-01-01,USA,1169.02427,4306.084,0.2715
Madison County,2021-01-01,USA,9905.335010000003,36484.164,0.2715
Dutchess County,2021-01-01,USA,450951.8145699998,1676807.364,0.2689
Worcester Urban Area,2021-01-01,USA,883656.0509300001,3287620.271,0.2688
Coosa County,2021-01-01,USA,2294.71321,8557.547,0.2682
Chisago County,2021-01-01,USA,91723.5026,342687.985,0.2677
Warren County,2021-01-01,USA,15175.48867,56711.408,0.2676
Hudson County,2021-01-01,USA,2626068.7971000005,9870205.694,0.2661
Windham County,2021-01-01,USA,59208.15647,222905.192,0.2656
Sullivan County,2021-01-01,USA,56331.5258,212149.312,0.2655
Benzie County,2021-01-01,USA,11957.74982,45055.904,0.2654
Swain County,2021-01-01,USA,8618.44919,32485.103,0.2653
Houghton County,2021-01-01,USA,28443.84345999999,107542.817,0.2645
Wyoming County,2021-01-01,USA,22095.8939,83557.292,0.2644
Morgan County,2021-01-01,USA,9006.4257,34061.893,0.2644
Camden County,2021-01-01,USA,1438.07043,5463.02,0.2632
York County,2021-01-01,USA,286903.5364100001,1091906.155,0.2628
Lawrence County,2021-01-01,USA,8360.886770000001,31821.891,0.2627
Carroll County,2021-01-01,USA,39491.19107999999,150518.276,0.2624
Wilkinson County,2021-01-01,USA,2208.65509,8422.832,0.2622
Jackson County,2021-01-01,USA,674.3363299999999,2578.558,0.2615
